STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,IMPRESSIONS,CLICKS,REVENUE
c5,2015,6,11,11921588,4526,1050
c5,2015,6,12,12216765,5320,1154
c5,2015,6,13,6798805,4226,1041
c5,2015,6,14,6320103,3661,969
c5,2015,6,15,12998510,5199,1063
c5,2015,6,16,13364503,4705,1033
c5,2015,6,17,12430878,4026,1039
c5,2015,6,18,13229394,3976,1131
c5,2015,6,19,12071071,0,0
c5,2015,6,20,8269890,5406,1648
c5,2015,6,21,7369134,5041,1582
c5,2015,6,22,14332248,5492,1609
c5,2015,6,23,13478292,5671,1791
c5,2015,6,24,14431069,5885,1749
c5,2015,6,25,14057739,5749,1675
c5,2015,6,26,13092769,5378,1677
c5,2015,6,27,7584663,4448,1310
c5,2015,6,28,6669181,3797,999
c5,2015,6,29,12533654,5020,1405
c5,2015,6,30,13221370,4956,1501
c5,2015,7,1,11108976,3969,511
c5,2015,7,2,12563076,4534,590
c5,2015,7,3,11613545,3797,602
c5,2015,7,4,6631592,2989,490
c5,2015,7,5,6325924,3318,650
c5,2015,7,6,12070742,3346,546
c5,2015,7,7,13227227,3039,443
c5,2015,7,8,12408514,4033,716
c5,2015,7,9,10613589,3954,709
c5,2015,7,10,11424227,4176,892
c5,2015,7,11,7866988,4205,1017
c5,2015,7,12,7757990,3861,933
c5,2015,7,13,12997001,4083,881
c5,2015,7,14,13154237,4190,915
c5,2015,7,15,13341346,4598,923
c5,2015,7,16,12814327,3854,864
c5,2015,7,17,12671273,4133,1108
c5,2015,7,18,7172943,3783,980
c5,2015,7,19,7543455,4255,1113
c5,2015,7,20,13213253,5184,1007
c5,2015,7,21,13240450,5084,1015
c5,2015,7,22,12822508,2774,330
c5,2015,7,23,13130458,5285,844
c5,2015,7,24,11856315,4276,827
c5,2015,7,25,7793991,4498,1021
c5,2015,7,26,7628195,4262,1114
c5,2015,7,27,14132331,4998,1029
c5,2015,7,28,13054551,4884,991
c5,2015,7,29,13142487,4512,929
c5,2015,7,30,13251285,5013,1084
c5,2015,7,31,12051040,4248,1253
c5,2015,8,1,7813072,3861,429
c5,2015,8,2,6750774,3461,529
c5,2015,8,3,13871282,4748,751
c5,2015,8,4,14177193,4777,868
c5,2015,8,5,13325683,4548,790
c5,2015,8,6,13686527,4519,683
c5,2015,8,7,12995013,5356,787
d5,2015,6,7,6213257,2917,512
d5,2015,6,8,12040112,3404,554
d5,2015,6,9,13540404,4083,707
d5,2015,6,10,13099112,4205,541
d5,2015,6,11,12033761,4012,552
d5,2015,6,12,12354341,4476,652
d5,2015,6,13,6892541,4083,606
d5,2015,6,14,6309275,3532,623
d5,2015,6,15,13184253,4698,659
d5,2015,6,16,13588885,4040,538
d5,2015,6,17,12545626,4040,688
d5,2015,6,18,13460406,3833,763
d5,2015,6,19,12217351,0,0
d5,2015,6,20,8311434,5356,988
d5,2015,6,21,7420053,4612,1081
d5,2015,6,22,14492545,5471,1119
d5,2015,6,23,13458847,5463,1154
d5,2015,6,24,14425384,5971,942
d5,2015,6,25,14600914,5127,885
d5,2015,6,26,13373771,5320,894
d5,2015,6,27,7749773,4319,731
d5,2015,6,28,6794721,3711,894
d5,2015,6,29,12637896,4791,838
d5,2015,6,30,13466220,4791,878
d5,2015,7,1,11292129,3575,343
d5,2015,7,2,12662769,4598,487
d5,2015,7,3,11679984,3954,402
d5,2015,7,4,6718521,3296,396
d5,2015,7,5,6312071,3053,377
d5,2015,7,6,12111307,3311,386
d5,2015,7,7,13305509,2495,270
d5,2015,7,8,12520652,3962,487
d5,2015,7,9,10580885,3540,417
d5,2015,7,10,11558721,3954,532
d5,2015,7,11,7756137,3382,443
d5,2015,7,12,7626578,3654,587
d5,2015,7,13,13034576,3547,427
d5,2015,7,14,13448820,4226,490
d5,2015,7,15,13601086,4226,439
d5,2015,7,16,12858267,4183,467
d5,2015,7,17,12819283,4004,430
d5,2015,7,18,7229355,3747,419
d5,2015,7,19,7451399,3954,460
d5,2015,7,20,13546776,4777,526
d5,2015,7,21,13164915,5027,526
d5,2015,7,22,12864896,2553,254
d5,2015,7,23,13226032,4998,561
d5,2015,7,24,11871669,4341,567
d5,2015,7,25,7909054,4391,528
d5,2015,7,26,7351948,3997,554
d5,2015,7,27,14065642,4240,568
d5,2015,7,28,12984579,4391,523
d5,2015,7,29,13306753,4662,566
d5,2015,7,30,13130265,4762,551
d5,2015,7,31,12001128,4441,708
d5,2015,8,1,7791088,3997,326
d5,2015,8,2,6718056,3203,330
d5,2015,8,3,13754682,4219,383
d5,2015,8,4,13810843,4333,378
d5,2015,8,5,13137438,4262,342
d5,2015,8,6,13658478,4162,366
d5,2015,8,7,13010661,4670,346
e5,2015,6,7,6464037,3282,604
e5,2015,6,8,12158464,3726,675
e5,2015,6,9,14016131,4140,725
e5,2015,6,10,13293344,4848,686
e5,2015,6,11,12201296,4319,612
e5,2015,6,12,12506399,4906,653
e5,2015,6,13,6918080,3911,581
e5,2015,6,14,6467527,3790,693
e5,2015,6,15,13188429,4855,708
e5,2015,6,16,13375523,4290,618
e5,2015,6,17,12508101,4183,675
e5,2015,6,18,13385199,3740,811
e5,2015,6,19,12288009,0,0
e5,2015,6,20,8336357,5513,1051
e5,2015,6,21,7482051,4348,1077
e5,2015,6,22,14466048,5471,1142
e5,2015,6,23,13644167,5764,1281
e5,2015,6,24,14505704,5735,1011
e5,2015,6,25,14405188,5149,890
e5,2015,6,26,13577800,4956,816
e5,2015,6,27,7691751,4662,794
e5,2015,6,28,6889323,4026,940
e5,2015,6,29,12705772,4526,784
e5,2015,6,30,13539103,5013,911
e5,2015,7,1,11423748,3711,409
e5,2015,7,2,12770559,3962,459
e5,2015,7,3,11835969,3482,326
e5,2015,7,4,6696730,2982,405
e5,2015,7,5,6349939,2967,406
e5,2015,7,6,12128406,3161,356
e5,2015,7,7,13373857,2481,287
e5,2015,7,8,12640878,3654,463
e5,2015,7,9,10439725,3304,376
e5,2015,7,10,11496752,3754,493
e5,2015,7,11,7865150,3497,446
e5,2015,7,12,7868633,3625,492
e5,2015,7,13,13068668,3411,417
e5,2015,7,14,13440889,3826,432
e5,2015,7,15,13818045,4383,450
e5,2015,7,16,12969682,3997,441
e5,2015,7,17,12577486,4462,460
e5,2015,7,18,7129661,3647,372
e5,2015,7,19,7496347,3804,432
e5,2015,7,20,13539961,4734,582
e5,2015,7,21,13433845,4791,577
e5,2015,7,22,13079553,2460,243
e5,2015,7,23,13522647,5056,592
e5,2015,7,24,12028913,4240,535
e5,2015,7,25,8007882,4855,610
e5,2015,7,26,7471416,3790,582
e5,2015,7,27,14182092,4548,588
e5,2015,7,28,13398630,4505,585
e5,2015,7,29,13381981,4569,552
e5,2015,7,30,13069969,4591,621
e5,2015,7,31,12074054,3754,571
e5,2015,8,1,7780045,3604,302
e5,2015,8,2,6830086,3060,339
e5,2015,8,3,13997415,4198,407
e5,2015,8,4,14368399,4298,374
e5,2015,8,5,13369208,4083,368
e5,2015,8,6,13771109,4219,378
e5,2015,8,7,13087813,4956,389
f5,2015,6,7,6238588,3153,551
f5,2015,6,8,11957890,3697,633
f5,2015,6,9,13398108,4577,895
f5,2015,6,10,13078201,5041,925
f5,2015,6,11,11864039,5027,958
f5,2015,6,12,12138290,5149,834
f5,2015,6,13,7007225,4126,775
f5,2015,6,14,6540681,3876,712
f5,2015,6,15,12880508,5592,917
f5,2015,6,16,13271746,5091,878
f5,2015,6,17,12190697,4813,990
f5,2015,6,18,13196139,4526,996
f5,2015,6,19,12027404,0,0
f5,2015,6,20,8224298,5821,1308
f5,2015,6,21,7406115,4891,1282
f5,2015,6,22,13948512,6179,1519
f5,2015,6,23,13343834,6579,1584
f5,2015,6,24,14271101,6565,1559
f5,2015,6,25,14304485,5478,1159
f5,2015,6,26,13150804,6014,1389
f5,2015,6,27,7759113,4920,968
f5,2015,6,28,6685459,4155,906
f5,2015,6,29,12569462,5249,1052
f5,2015,6,30,13352602,5134,955
f5,2015,7,1,11247124,3954,473
f5,2015,7,2,12759617,4448,554
f5,2015,7,3,11554909,3783,524
f5,2015,7,4,6640768,3189,542
f5,2015,7,5,6306722,3590,553
f5,2015,7,6,12126082,3768,611
f5,2015,7,7,13025744,3046,475
f5,2015,7,8,12269651,4262,679
f5,2015,7,9,10352254,4398,715
f5,2015,7,10,11527082,4462,743
f5,2015,7,11,7847257,3547,617
f5,2015,7,12,7737593,4105,657
f5,2015,7,13,13018099,4484,709
f5,2015,7,14,13144275,4512,739
f5,2015,7,15,13234128,4741,676
f5,2015,7,16,12426844,4648,665
f5,2015,7,17,12456209,4977,922
f5,2015,7,18,7119842,4097,717
f5,2015,7,19,7372259,3983,812
f5,2015,7,20,13402370,4941,772
f5,2015,7,21,12963532,5656,1060
f5,2015,7,22,12832113,2846,376
f5,2015,7,23,13089558,5742,872
f5,2015,7,24,11976598,4913,903
f5,2015,7,25,7989388,4834,850
f5,2015,7,26,7379911,4519,850
f5,2015,7,27,14161009,5184,1011
f5,2015,7,28,13016568,5392,974
f5,2015,7,29,13214282,5306,968
f5,2015,7,30,12971477,5070,956
f5,2015,7,31,11999219,4705,1177
f5,2015,8,1,7880454,4283,502
f5,2015,8,2,6831459,3783,525
f5,2015,8,3,13748546,4684,694
f5,2015,8,4,13896263,5084,743
f5,2015,8,5,13291785,4691,646
f5,2015,8,6,13557518,4870,744
f5,2015,8,7,12930927,5420,612
g5,2015,6,7,6275770,3161,1057
g5,2015,6,8,11845194,3575,1271
g5,2015,6,9,13435254,3926,1458
g5,2015,6,10,13094564,4312,1552
g5,2015,6,11,11786887,4276,1604
g5,2015,6,12,12088250,4841,1746
g5,2015,6,13,6734533,3869,1486
g5,2015,6,14,6144873,3654,1336
g5,2015,6,15,12857115,4770,1661
g5,2015,6,16,13092747,4062,1391
g5,2015,6,17,12258094,3983,1541
